recolhido_em,atualizacao_fonte,utentes_1a_obs,tempo_medio_1a_obs_min,tempo_max_1a_obs_min,laranja_n,laranja_min,amarelo_n,amarelo_min,verde_n,verde_min,azul_n,azul_min
2026-09-21T22:18:17,2026-09-21 22:11,56,135,356,1,25,31,128,23,151,0,0
2026-09-21T22:37:19,2026-09-21 22:31,53,120,337,1,45,31,124,21,118,0,0
2026-09-21T22:48:30,2026-09-21 22:41,49,118,317,2,35,26,118,21,128,0,0
2026-09-21T22:55:23,2026-09-21 22:51,47,132,327,0,0,26,128,21,138,0,0
2026-09-21T23:05:58,2026-09-21 23:01,45,131,337,0,0,24,116,21,148,0,0
2026-09-22T17:21:57,2026-09-22 17:11,60,143,312,4,36,35,161,19,128,2,196
2026-09-22T17:27:19,2026-09-22 17:21,58,151,322,4,32,33,170,19,138,2,206
2026-09-22T17:35:46,2026-09-22 17:31,57,154,332,3,36,35,170,17,133,2,216
2026-09-23T00:48:38,2026-09-23 00:41,37,188,555,0,0,24,198,12,168,1,182
2026-09-23T00:54:37,2026-09-23 00:51,37,191,565,1,17,22,215,13,165,1,192
2026-09-23T01:04:51,2026-09-23 01:01,35,197,575,0,0,22,201,12,188,1,202
2026-09-23T01:14:43,2026-09-23 01:11,35,193,585,1,12,21,197,12,198,1,212
2026-09-23T01:24:31,2026-09-23 01:21,34,191,595,1,22,20,187,12,208,1,222
2026-09-23T01:34:56,2026-09-23 01:32,28,197,606,1,10,19,197,7,217,1,233
2026-09-23T01:44:54,2026-09-23 01:42,28,204,616,1,20,19,204,7,227,1,243
2026-09-23T01:54:52,2026-09-23 01:52,27,207,626,1,30,18,208,7,221,1,253
2026-09-23T19:16:50,2026-09-23 19:11,77,205,513,0,0,44,185,31,239,1,54
2026-09-23T19:34:40,2026-09-23 19:31,78,215,533,0,0,43,202,34,237,1,74
2026-09-23T19:45:51,2026-09-23 19:41,80,220,543,0,0,43,212,36,234,1,84
